record_ID,units_sold
212645,15
212646,21
212647,36
212648,28
212649,20
212653,26
212654,40
212657,16
212658,13
212661,178
212662,99
212663,49
212666,86
212667,93
212668,120
212671,48
212672,110
212673,70
212674,401
212675,24
212676,10
212677,85
212678,60
212679,40
212681,39
212682,85
212683,28
212686,98
212687,88
212688,33
212689,5
212691,24
212692,52
212693,39
212694,43
212695,38
212696,32
212697,91
212698,33
212699,191
212700,24
212701,14
212702,43
212703,43
212704,35
212705,30
212706,35
212707,37
212709,8
212710,20
212711,37
212712,40
212713,28
212716,27
212717,34
212718,21
212719,28
212721,88
212722,25
212723,152
212724,13
212725,13
212727,32
212728,59
212729,38
212731,38
212732,41
212734,9
212735,8
212736,16
212737,264
212738,219
212739,70
212740,20
212742,84
212743,108
212744,220
212748,241
212749,96
212750,495
212751,61
212752,19
212754,115
212755,78
212756,88
212757,43
212758,65
212759,118
212760,12
212761,79
212763,13
212764,106
212765,87
212767,50
212768,54
212769,71
212772,42
212773,63
212774,32
212775,261
212776,9
212777,8
212778,54
212779,33
212782,48
212783,64
212787,212
212788,117
212789,67
212790,16
212792,94
212793,103
212794,124
212796,156
212797,327
212798,416
212799,28
212800,12
212802,93
212803,67
212805,46
212806,64
212807,101
212809,41
212812,35
212816,19
212817,25
212818,36
212819,21
212820,26
212821,30
212822,66
212823,24
212824,149
212825,14
212826,11
212828,42
212829,52
212830,36
212831,31
212832,46
212833,43
212834,32
212835,29
212837,8
212838,20
212839,25
212840,28
212843,49
212844,16
212845,95
212846,11
212849,80
212850,27
212853,25
212856,38
212857,22
212860,18
212861,42
212862,58
212863,11
212866,127
212867,45
212868,273
212869,40
212870,31
212872,44
212873,71
212874,39
212875,33
212876,41
212877,40
212879,20
212880,27
212881,36
212884,17
212885,31
212886,20
212888,17
212889,47
212890,16
212891,79
212892,26
212893,29
212896,30
212899,6
212900,16
212901,24
212902,18
212903,15
212905,36
212906,13
212907,79
212910,24
212911,15
212914,17
212915,132
212916,80
212917,33
212919,42
212920,58
212921,95
212924,76
212925,45
212926,314
212927,11
212929,78
212930,69
212931,18
212932,57
212933,68
212934,88
212935,14
212936,68
212937,63
212938,15
212940,51
212941,44
212942,32
212946,53
212947,59
212948,147
212949,40
212950,63
212951,40
212952,40
212954,56
212955,30
212956,30
212959,15
212960,23
212964,81
212965,27
212966,223
